"aca.fav","tea.party","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
0,0,0,"OH","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
1,0,1,"OH","White","$75,000+","Female","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"WI","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"ND","White","less than $20,000","Female","18-29","college graduate","July","2012","Kaiser"
0,0,0,"WI","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"MA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"MN","White","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
NA,0,0,"MN","White","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"MO","White","$20,000-$40,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"CO","Hispanic","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
0,1,0,"IL","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
NA,0,1,"NY","Hispanic","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,NA,0,"PA","White","$75,000+","Female","45-64","some college","July","2012","Kaiser"
NA,1,0,"OH","White","less than $20,000","Male","45-64","high school graduate","July","2012","Kaiser"
NA,NA,1,"PA","Black",NA,"Male","45-64","some college","July","2012","Kaiser"
0,0,0,"IN","White","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"IL","Black","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"WA","White","$40,000-$75,000","Male","30-44","postgraduate","July","2012","Kaiser"
1,0,1,"KS","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
0,1,0,"IL","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
NA,NA,1,"IA","White","$40,000-$75,000","Female","30-44","some college","July","2012","Kaiser"
0,0,NA,"UT","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
NA,NA,1,"MN","White",NA,"Male","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"WA","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,0,1,"CA","White","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"WY","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,1,1,"NV","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
0,0,1,"WA","White","less than $20,000","Female","18-29","high school graduate","July","2012","Kaiser"
0,NA,NA,"TX",NA,NA,"Female","65+",NA,"July","2012","Kaiser"
NA,1,1,"MO","Black","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"NM","Hispanic","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,NA,0,"AZ","White",NA,"Male","18-29","college graduate","July","2012","Kaiser"
1,1,0,"IN","Hispanic","less than $20,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"TX","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"TN","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
1,0,1,"TX","White","$20,000-$40,000","Female","65+","college graduate","July","2012","Kaiser"
NA,NA,1,"HI","Other","$75,000+","Male","65+","high school graduate","July","2012","Kaiser"
1,0,1,"CA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"NM","Black","$75,000+","Male","18-29","some college","July","2012","Kaiser"
NA,NA,1,"CA","White","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
0,NA,NA,"TX","White",NA,"Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"CA","Other","$75,000+","Female","45-64","some college","July","2012","Kaiser"
NA,0,1,"CA","White",NA,"Male","18-29","high school graduate","July","2012","Kaiser"
1,1,1,"TX","Hispanic","$20,000-$40,000","Male","18-29","less than a high school education","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Male","65+","college graduate","July","2012","Kaiser"
0,1,1,"NV","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"TN","Black","$75,000+","Female","30-44","postgraduate","July","2012","Kaiser"
0,NA,0,"CA","White","$40,000-$75,000","Male","45-64","postgraduate","July","2012","Kaiser"
NA,1,0,"NM","Hispanic","$20,000-$40,000","Female","30-44","college graduate","July","2012","Kaiser"
0,0,0,"AZ","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
1,NA,0,"WA","White","$20,000-$40,000","Female","65+","high school graduate","July","2012","Kaiser"
NA,0,1,"OR","Other","less than $20,000","Male","30-44","some college","July","2012","Kaiser"
0,0,0,"FL","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,0,NA,"FL","White",NA,"Female",NA,NA,"July","2012","Kaiser"
0,0,1,"MD","White","$40,000-$75,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,1,1,"FL","Hispanic","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,0,0,"MD","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,NA,1,"MD","Other","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"TN","White","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"AL","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
NA,NA,NA,"IA","White","$20,000-$40,000","Female","30-44","some college","July","2012","Kaiser"
0,0,NA,"MA","White","$40,000-$75,000","Female","30-44","some college","July","2012","Kaiser"
0,0,0,"FL","Hispanic","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,0,0,"VA","White","$20,000-$40,000","Female","65+","high school graduate","July","2012","Kaiser"
0,1,NA,"MN","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,1,0,"NH","White",NA,"Male","45-64","college graduate","July","2012","Kaiser"
0,NA,0,"MO",NA,NA,"Female",NA,NA,"July","2012","Kaiser"
0,1,0,"SC","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
NA,NA,0,"OH",NA,NA,"Female","30-44",NA,"July","2012","Kaiser"
1,0,0,"MD","White","$20,000-$40,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"TX","Hispanic","$20,000-$40,000","Male","45-64","postgraduate","July","2012","Kaiser"
NA,NA,1,"TX","White","less than $20,000","Male","30-44","high school graduate","July","2012","Kaiser"
1,0,1,"FL","Hispanic","$20,000-$40,000","Male","65+","less than a high school education","July","2012","Kaiser"
0,0,1,"FL","White",NA,"Male","45-64","some college","July","2012","Kaiser"
0,1,1,"AL","White","$20,000-$40,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"SD","White","$20,000-$40,000","Male","65+","high school graduate","July","2012","Kaiser"
0,1,0,"IL","White",NA,"Male","45-64","college graduate","July","2012","Kaiser"
0,0,0,"TX","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,0,0,"TN","White","$40,000-$75,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,0,0,"IN","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"KY","White","$75,000+","Female","65+","postgraduate","July","2012","Kaiser"
1,0,1,"SD","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"WY","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
1,0,1,"IL","White","$40,000-$75,000","Female","30-44","postgraduate","July","2012","Kaiser"
0,1,0,"MI","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,NA,0,"IL","White",NA,"Male","18-29","some college","July","2012","Kaiser"
1,0,0,"NJ","Black",NA,"Male","18-29","some college","July","2012","Kaiser"
0,0,0,"CT","White","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
NA,0,1,"UT","White","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
NA,NA,0,"IL","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"OK","White","less than $20,000","Female","45-64","some college","July","2012","Kaiser"
1,0,1,"OH","Black","$40,000-$75,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"AZ","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"MO","White","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
0,NA,0,"GA","White","$75,000+","Male","30-44","some college","July","2012","Kaiser"
NA,0,1,"MN","White",NA,"Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"LA","Black","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
1,0,0,"PA","White","$40,000-$75,000","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"AZ","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$75,000+","Female","65+","high school graduate","July","2012","Kaiser"
NA,NA,1,"MN","White","less than $20,000","Female","18-29","college graduate","July","2012","Kaiser"
1,0,1,"MA","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
NA,0,0,"FL","White","$20,000-$40,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,NA,"MA","Black","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
0,1,0,"IL","White","$40,000-$75,000","Female","30-44","postgraduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
NA,0,1,"NC","Black","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"TN","White","$40,000-$75,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Male","65+","some college","July","2012","Kaiser"
0,0,1,"PA","Other","$75,000+","Female","18-29","postgraduate","July","2012","Kaiser"
1,1,1,"NV","White",NA,"Male","30-44","some college","July","2012","Kaiser"
0,1,0,"FL","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
0,NA,1,"DE","Black","less than $20,000","Female","45-64","some college","July","2012","Kaiser"
0,0,1,"AZ","White","$75,000+","Male","65+","some college","July","2012","Kaiser"
1,0,1,"CA","Black","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Male","18-29","postgraduate","July","2012","Kaiser"
1,0,1,"MA","White","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
NA,0,0,"CA","Other","less than $20,000","Male","18-29","some college","July","2012","Kaiser"
0,0,0,"WY","White","$75,000+","Female","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"GA","Black","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"NV","Black","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
1,0,1,"CA","White","$75,000+","Female","18-29","some college","July","2012","Kaiser"
1,0,1,"MD","Other","$40,000-$75,000","Male","30-44","postgraduate","July","2012","Kaiser"
1,0,0,"SC","White","$40,000-$75,000","Male","30-44","some college","July","2012","Kaiser"
1,0,1,"VA","Other","less than $20,000","Female","18-29","college graduate","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"AZ","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,0,0,"CT","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
NA,NA,0,"ID","Hispanic",NA,"Male","18-29",NA,"July","2012","Kaiser"
0,1,0,"MD","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
0,1,0,"TX","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
1,0,0,"GA","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
NA,0,1,"VA","White","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,1,0,"WI",NA,"$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
NA,0,1,"GA","White","less than $20,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"WV","Black","$20,000-$40,000","Female","30-44","college graduate","July","2012","Kaiser"
0,NA,0,"TX","White","less than $20,000","Male","18-29","some college","July","2012","Kaiser"
0,1,NA,"FL","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"NC","White","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
1,NA,1,"TX","Hispanic","$40,000-$75,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,1,0,"TX","White",NA,"Male","65+","postgraduate","July","2012","Kaiser"
1,0,0,"AL","Other","$20,000-$40,000","Male","18-29","postgraduate","July","2012","Kaiser"
0,0,1,"MA","White","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"NH","White",NA,"Male","18-29","college graduate","July","2012","Kaiser"
1,0,0,"PA","White","$75,000+","Female","18-29","college graduate","July","2012","Kaiser"
1,0,1,"PA","White","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
NA,1,0,"NY","White","less than $20,000","Female","65+","some college","July","2012","Kaiser"
NA,NA,1,"MA","Other",NA,"Male","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"PA","White","$75,000+","Female","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"NY","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
1,NA,0,"WI","Other","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
NA,NA,0,"WI","White","$20,000-$40,000","Female","30-44","high school graduate","July","2012","Kaiser"
0,0,1,"NY","White","$40,000-$75,000","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,1,"OK","White","less than $20,000","Female","18-29","some college","July","2012","Kaiser"
0,0,0,"MO","Hispanic","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"PA","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
0,NA,1,"MI","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"KS","White","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
NA,0,1,"SD","Black","less than $20,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"OH","White","less than $20,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,0,1,"WI","White","$40,000-$75,000","Male","30-44","some college","July","2012","Kaiser"
NA,1,0,"IN","White",NA,"Male","18-29","some college","July","2012","Kaiser"
1,1,0,"MN","Hispanic","less than $20,000","Male","18-29","some college","July","2012","Kaiser"
NA,0,1,"CT","Other","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,0,0,"IN","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,0,NA,"IN","Hispanic","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,0,1,"SC","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,1,0,"PA","White","less than $20,000","Female","65+","high school graduate","July","2012","Kaiser"
1,0,1,"ME","White","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
0,1,1,"PA","White","less than $20,000","Female","65+","some college","July","2012","Kaiser"
0,0,1,"NY","Hispanic","$20,000-$40,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"OK","White","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
NA,0,1,"NJ","Hispanic","$40,000-$75,000","Female","18-29","high school graduate","July","2012","Kaiser"
0,0,NA,"NY","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"NY","White","less than $20,000","Male","18-29","postgraduate","July","2012","Kaiser"
0,1,0,"NC","Hispanic","$40,000-$75,000","Male","30-44","some college","July","2012","Kaiser"
NA,0,1,"PA","White","less than $20,000","Female","18-29","some college","July","2012","Kaiser"
0,NA,NA,"NY","White",NA,"Male",NA,NA,"July","2012","Kaiser"
1,0,0,"NJ","White","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
1,NA,1,"CT","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,NA,0,"PA","White","$40,000-$75,000","Male","65+","high school graduate","July","2012","Kaiser"
NA,0,0,"WA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,0,"MT","White","$40,000-$75,000","Male","65+","postgraduate","July","2012","Kaiser"
NA,0,1,"AZ","Hispanic","less than $20,000","Female","45-64","some college","July","2012","Kaiser"
0,0,1,"WA","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
