"aca.fav","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
1,1,"NJ","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"NC","Black","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,0,"NH","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
NA,1,"OK","White","$40,000-$75,000","Male","18-29","some college","March","2013","Kaiser"
1,0,"NC","White","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,0,"PA","Black","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"MN","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,0,"NY","White",NA,"Male","45-64","high school graduate","March","2013","Kaiser"
NA,1,"SC","Black","less than $20,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,0,"TN","White","$20,000-$40,000","Female","65+","less than a high school education","March","2013","Kaiser"
0,0,"TX","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"IA","White","$20,000-$40,000","Male","65+","postgraduate","March","2013","Kaiser"
1,1,"FL","Hispanic","$40,000-$75,000","Female","30-44","postgraduate","March","2013","Kaiser"
NA,1,"MI","White","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"IN","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
1,1,"NJ","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"FL","Hispanic","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
1,NA,"OH","White","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
NA,1,"MO","White","less than $20,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"MT","Other","$40,000-$75,000","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"NM","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,1,"IL","Other","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"AZ","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
0,NA,"CO","White",NA,"Female","65+","postgraduate","March","2013","Kaiser"
0,0,"OK","White","less than $20,000","Female","30-44","high school graduate","March","2013","Kaiser"
1,1,"UT","White","$20,000-$40,000","Female","30-44","high school graduate","March","2013","Kaiser"
1,1,"MI","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"LA","White","less than $20,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,0,"PA","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"MA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
NA,1,"CO","Hispanic","less than $20,000","Male","65+","less than a high school education","March","2013","Kaiser"
0,0,"KS","White","$40,000-$75,000","Female","30-44","high school graduate","March","2013","Kaiser"
1,1,"FL","Black","$20,000-$40,000","Female","18-29","some college","March","2013","Kaiser"
NA,1,"NJ","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
0,0,"TN",NA,NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"NY","White","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
0,0,"IN","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
1,NA,"FL","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"SC","Black","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,0,"MT","White",NA,"Female","65+","college graduate","March","2013","Kaiser"
0,0,"UT","White","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"AR","White","less than $20,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NJ","White","$40,000-$75,000","Female","65+",NA,"March","2013","Kaiser"
0,0,"AZ","White","$75,000+","Female","65+","some college","March","2013","Kaiser"
0,0,"NY","White","$75,000+","Male","65+","some college","March","2013","Kaiser"
NA,0,"OK","Black",NA,"Male","45-64","less than a high school education","March","2013","Kaiser"
1,1,"OH","White","$20,000-$40,000","Female","45-64","college graduate","March","2013","Kaiser"
1,NA,"CA","White","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
0,0,"KS","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,0,"UT","White","$40,000-$75,000","Male","65+","postgraduate","March","2013","Kaiser"
0,1,"CA","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,NA,"MO","White","$40,000-$75,000","Male","18-29","postgraduate","March","2013","Kaiser"
1,1,"TX","Hispanic","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"NY","White","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
NA,1,"TN","White","less than $20,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,0,"AR","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
NA,1,"NJ","Hispanic","less than $20,000","Female","30-44","some college","March","2013","Kaiser"
NA,1,"MD","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"TX","Hispanic","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"NJ","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"KY","White","$40,000-$75,000","Female","30-44","some college","March","2013","Kaiser"
0,0,"FL","Hispanic",NA,"Female","65+","some college","March","2013","Kaiser"
NA,1,"MA","Hispanic","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
NA,NA,"TX","White","$20,000-$40,000","Male","18-29","high school graduate","March","2013","Kaiser"
0,0,"MN","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"MA","White","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"TX","Hispanic","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"LA","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,1,"NJ","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"NC","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"KS","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
0,NA,"GA","White","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"MD","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
0,0,"SC","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,0,"PA","White","$20,000-$40,000","Male","65+","college graduate","March","2013","Kaiser"
0,1,"AZ","White","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"CA","White","$75,000+","Female","65+","high school graduate","March","2013","Kaiser"
0,NA,"LA","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"UT","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
0,1,"MO","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"WA","Other","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"CA","Other","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"AL","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"CA","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
0,0,"FL","White",NA,"Male","65+","some college","March","2013","Kaiser"
1,0,"WA","White","$20,000-$40,000","Male","18-29","college graduate","March","2013","Kaiser"
1,0,"IL","White","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
0,0,"TX","White","$20,000-$40,000","Male","45-64","some college","March","2013","Kaiser"
0,0,"NV",NA,"$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"WA","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
1,NA,"CA","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"CA","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
NA,0,"NV","Other","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
1,1,"WA","White","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"CA","White",NA,"Male","30-44","postgraduate","March","2013","Kaiser"
1,1,"CA","White","less than $20,000","Male","45-64","some college","March","2013","Kaiser"
1,1,"CA","Hispanic","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"WA",NA,"less than $20,000","Female","18-29","college graduate","March","2013","Kaiser"
0,0,"CA","Other","$20,000-$40,000","Male","18-29","some college","March","2013","Kaiser"
0,0,"WA","White",NA,"Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","White","$75,000+","Female","30-44","postgraduate","March","2013","Kaiser"
0,0,"CA","White","$40,000-$75,000","Male","65+","high school graduate","March","2013","Kaiser"
1,1,"CA","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
NA,0,"WA","Other","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"OR","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"AK","White","$20,000-$40,000","Female","18-29","some college","March","2013","Kaiser"
1,1,"HI","Hispanic","$75,000+","Male","45-64","some college","March","2013","Kaiser"
0,0,"AK","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,NA,"AK","White","$40,000-$75,000","Female","30-44","high school graduate","March","2013","Kaiser"
1,0,"AK","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
0,1,"IN","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
1,1,"VA","Black","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NY","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
1,1,"MA","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
0,0,"FL","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"FL","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
1,0,"PA","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,1,"GA","Other","less than $20,000","Male","45-64","postgraduate","March","2013","Kaiser"
0,NA,"PA","White","$20,000-$40,000","Male","65+","postgraduate","March","2013","Kaiser"
1,1,"GA","Other","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
0,0,"KY","White","$20,000-$40,000","Male","65+","high school graduate","March","2013","Kaiser"
0,1,"GA","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
0,0,"OK","White","less than $20,000","Male","65+","some college","March","2013","Kaiser"
NA,0,"WI","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
0,NA,"MN","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,0,"VT","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
NA,1,"AR","White","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"OH","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"WI","White",NA,"Male","45-64","postgraduate","March","2013","Kaiser"
0,0,"AL","White",NA,"Male","45-64","college graduate","March","2013","Kaiser"
0,NA,"PA","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
NA,0,"NM","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"AZ","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,0,"MA","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"NM","Hispanic","$40,000-$75,000","Male","65+","high school graduate","March","2013","Kaiser"
0,NA,"IL","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
NA,0,"AZ","Other","$75,000+","Female","30-44","postgraduate","March","2013","Kaiser"
1,1,"NY","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
NA,NA,"WV","White","$20,000-$40,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"NM","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"OH","White","$75,000+","Male","30-44","high school graduate","March","2013","Kaiser"
NA,1,"TX","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"FL","Black","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"SC","White","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"OH","White","$20,000-$40,000","Male","30-44","some college","March","2013","Kaiser"
1,0,"MI","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
1,0,"WI","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"IL","Black","$40,000-$75,000","Male","18-29","some college","March","2013","Kaiser"
NA,0,"PA","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,0,"FL","Hispanic","$20,000-$40,000","Male","65+","high school graduate","March","2013","Kaiser"
1,1,"PA","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
0,NA,"KY","White","$75,000+","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"SC","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
0,0,"NY","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,NA,"ME","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"NY","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"TX","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"CO","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
0,0,"CO","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"ID",NA,NA,"Male","45-64","some college","March","2013","Kaiser"
1,1,"FL","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"NJ","White",NA,"Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"WV","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
0,0,"FL","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"MI","Black","$75,000+","Female","45-64","some college","March","2013","Kaiser"
1,1,"PA","Black","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"NY","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"MA","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
NA,0,"NY","Hispanic","$20,000-$40,000","Male","30-44","postgraduate","March","2013","Kaiser"
1,1,"MD","Black",NA,"Female","45-64","college graduate","March","2013","Kaiser"
1,0,"CA","Other","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"CA","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
NA,1,"CA","Hispanic","$75,000+","Female","45-64","some college","March","2013","Kaiser"
NA,0,"NC","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
1,1,"WV","White","$40,000-$75,000","Male","65+","postgraduate","March","2013","Kaiser"
1,0,"NY","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,0,"WA","White","$40,000-$75,000","Female","30-44","high school graduate","March","2013","Kaiser"
NA,NA,"IN","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
1,1,"CA","White","less than $20,000","Male","65+","college graduate","March","2013","Kaiser"
1,0,"CA","Other","$75,000+","Male","18-29","college graduate","March","2013","Kaiser"
NA,1,"CA","Hispanic","less than $20,000","Male","18-29","some college","March","2013","Kaiser"
NA,0,"WA","Other","$20,000-$40,000","Male","65+","less than a high school education","March","2013","Kaiser"
NA,0,"OH","White","less than $20,000","Female","18-29","high school graduate","March","2013","Kaiser"
1,0,"CA","Other","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
0,0,"VA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"NJ","Other","$40,000-$75,000","Female","30-44","postgraduate","March","2013","Kaiser"
0,0,"VA","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
1,1,"FL","White",NA,"Female","65+","some college","March","2013","Kaiser"
0,NA,"OH","White","less than $20,000","Male","45-64","some college","March","2013","Kaiser"
0,0,"IL","White",NA,"Female","45-64","some college","March","2013","Kaiser"
1,0,"MO","White","$20,000-$40,000","Female","18-29","college graduate","March","2013","Kaiser"
0,0,"NJ","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"FL","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"NY","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,0,"MD","Black","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
NA,1,"VA","Black","$40,000-$75,000","Female","18-29","college graduate","March","2013","Kaiser"
0,0,"WV","White","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
0,1,"GA","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
NA,0,"IA","White","$20,000-$40,000","Male","65+","postgraduate","March","2013","Kaiser"
NA,0,"CT","White","$20,000-$40,000","Male","65+","college graduate","March","2013","Kaiser"
1,0,"NJ","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"KY","White",NA,"Male","65+","high school graduate","March","2013","Kaiser"
1,1,"MI","White","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"GA","White","$75,000+","Female","65+","college graduate","March","2013","Kaiser"
0,0,"PA","White","$20,000-$40,000","Female","45-64","college graduate","March","2013","Kaiser"
1,NA,"MN","White",NA,"Male","45-64","some college","March","2013","Kaiser"
0,0,"TN",NA,"$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"MT","White","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
NA,0,"AZ",NA,"$20,000-$40,000","Male","18-29","some college","March","2013","Kaiser"
0,0,"LA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"NM","White","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
0,0,"TN","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
NA,NA,"FL",NA,"$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
0,1,"MD","Black","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"NY","White","$20,000-$40,000","Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"IL","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"MO","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
NA,1,"MN","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"IL","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
0,1,"OK","White","less than $20,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,1,"MS","Hispanic","$20,000-$40,000","Female","30-44","postgraduate","March","2013","Kaiser"
NA,0,"WI","White","$20,000-$40,000","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"MN","Hispanic","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
NA,1,"MN","White","$40,000-$75,000","Male","65+","high school graduate","March","2013","Kaiser"
0,0,"MO","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"TX","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
NA,NA,"MO","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
0,0,"SD","White","$75,000+","Female","18-29","college graduate","March","2013","Kaiser"
NA,1,"AL","Black",NA,"Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"TX","Hispanic","$20,000-$40,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,0,"CO","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"TX","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"AZ","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"TX","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","March","2013","Kaiser"
1,1,"CO","Hispanic","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"LA","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
NA,1,"IL","Black","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"IA","White","$40,000-$75,000","Male","45-64","some college","March","2013","Kaiser"
1,1,"TX","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
NA,1,"TX","Other","$20,000-$40,000","Male","45-64","some college","March","2013","Kaiser"
0,0,"IL","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
NA,1,"MO","Other","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
NA,1,"IL","White","$20,000-$40,000","Male","30-44","high school graduate","March","2013","Kaiser"
0,0,"MO","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,1,"IL","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
0,NA,"CA","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
1,0,"CA","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"WA","Other","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
NA,0,"NV","Other","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
NA,1,"WA","White","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
0,0,"NV","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,NA,"WA","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
1,1,"CA","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"WA","White","$20,000-$40,000","Male","45-64","some college","March","2013","Kaiser"
1,1,"CA","Black","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,NA,"CA","Other","$20,000-$40,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,0,"WA","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"CA",NA,"$75,000+","Male","45-64","some college","March","2013","Kaiser"
1,1,"CA","Hispanic","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
NA,1,"CA",NA,NA,"Male","30-44","postgraduate","March","2013","Kaiser"
0,0,"WA","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"WA","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"CA","White","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"MA","White",NA,"Male","65+","postgraduate","March","2013","Kaiser"
1,1,"NJ","Hispanic",NA,"Female","45-64","college graduate","March","2013","Kaiser"
0,NA,"PA","White","$40,000-$75,000","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"SC","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
NA,0,"CT","White","$40,000-$75,000","Male","18-29","high school graduate","March","2013","Kaiser"
0,NA,"FL","White","$40,000-$75,000","Female","30-44","high school graduate","March","2013","Kaiser"
0,NA,"FL","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
1,1,"OH","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
0,1,"OH","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,0,"NC",NA,NA,"Female","65+","some college","March","2013","Kaiser"
0,0,"NH","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"VT","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
1,0,"FL","White",NA,"Female","65+","some college","March","2013","Kaiser"
NA,1,"FL","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,0,"MA","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
1,0,"PA","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","30-44","high school graduate","March","2013","Kaiser"
NA,1,"NJ","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
0,1,"NH","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"FL","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"KY","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
1,0,"FL","White",NA,"Female","65+","college graduate","March","2013","Kaiser"
0,1,"PA","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,1,"GA","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"ME","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
1,1,"ME","White","$40,000-$75,000","Female","30-44","college graduate","March","2013","Kaiser"
1,1,"NC","Black",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"MA","White","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
0,0,"VA","Black","$20,000-$40,000","Female","30-44","less than a high school education","March","2013","Kaiser"
0,1,"NY","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
1,1,"OH","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,0,"PA","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
