"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"NJ","Black","$75,000+","Female","Female.Black","18-29","high school graduate","August","2012","Kaiser"
0,"OH","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"NJ","White","$40,000-$75,000","Female","Female.White","30-44","postgraduate","August","2012","Kaiser"
1,"PA","White","$20,000-$40,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
0,"IL","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","high school graduate","August","2012","Kaiser"
0,"WI","White","$20,000-$40,000","Female","Female.White","30-44","high school graduate","August","2012","Kaiser"
0,"MA","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"OH","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"IL","White","$40,000-$75,000","Female","Female.White","18-29","some college","August","2012","Kaiser"
0,"MS","Black","less than $20,000","Female","Female.Black","18-29","college graduate","August","2012","Kaiser"
1,"FL","White","less than $20,000","Male","Male.White","65+","college graduate","August","2012","Kaiser"
0,"NM","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","August","2012","Kaiser"
1,"TX","Other","$75,000+","Male","Male.Other","30-44","college graduate","August","2012","Kaiser"
1,"FL","Black","$75,000+","Female","Female.Black","18-29","some college","August","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","August","2012","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"MT","White","$40,000-$75,000","Female","Female.White","30-44","some college","August","2012","Kaiser"
1,"OR","White","$75,000+","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","18-29","some college","August","2012","Kaiser"
0,"CA","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"IN","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","less than a high school education","August","2012","Kaiser"
0,"PA","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"DC","White","$75,000+","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"ID","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"IA","White","$20,000-$40,000","Male","Male.White","18-29","less than a high school education","August","2012","Kaiser"
1,"MS","White","$20,000-$40,000","Male","Male.White","45-64","some college","August","2012","Kaiser"
0,"OH","White","$75,000+","Male","Male.White","45-64","postgraduate","August","2012","Kaiser"
0,"WA","Other","$75,000+","Male","Male.Other","30-44","postgraduate","August","2012","Kaiser"
1,"CA","White","less than $20,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
1,"VA","Black","$75,000+","Female","Female.Black","45-64","some college","August","2012","Kaiser"
0,"WV","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"IN","White","less than $20,000","Female","Female.White","45-64","less than a high school education","August","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Female","Female.Hispanic","18-29","high school graduate","August","2012","Kaiser"
0,"AZ","White","$20,000-$40,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","some college","August","2012","Kaiser"
0,"OR","White","$20,000-$40,000","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"NV","White","$75,000+","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
0,"UT","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"CA","Black","$40,000-$75,000","Male","Male.Black","30-44","some college","August","2012","Kaiser"
0,"GA","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
1,"CO","White","$75,000+","Female","Female.White","45-64","some college","August","2012","Kaiser"
1,"CO","Black","$75,000+","Female","Female.Black","45-64","postgraduate","August","2012","Kaiser"
1,"DC","Black","$40,000-$75,000","Female","Female.Black","30-44","college graduate","August","2012","Kaiser"
0,"FL","Hispanic","$75,000+","Female","Female.Hispanic","45-64","postgraduate","August","2012","Kaiser"
0,"KY","White","$40,000-$75,000","Female","Female.White","18-29","some college","August","2012","Kaiser"
1,"NC","Black","less than $20,000","Female","Female.Black","45-64","some college","August","2012","Kaiser"
0,"NC","White","less than $20,000","Female","Female.White","45-64","less than a high school education","August","2012","Kaiser"
1,"CO","White","$75,000+","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"KY","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","some college","August","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","August","2012","Kaiser"
0,"GA","Other","$20,000-$40,000","Female","Female.Other","30-44","college graduate","August","2012","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","high school graduate","August","2012","Kaiser"
1,"FL","Black","$75,000+","Male","Male.Black","45-64","some college","August","2012","Kaiser"
0,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","some college","August","2012","Kaiser"
0,"MD","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
1,"GA","Black","$40,000-$75,000","Male","Male.Black","30-44","college graduate","August","2012","Kaiser"
0,"LA","White","$40,000-$75,000","Male","Male.White","65+","college graduate","August","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"TN","White","$75,000+","Male","Male.White","65+","high school graduate","August","2012","Kaiser"
0,"LA","White","$40,000-$75,000","Male","Male.White","45-64","some college","August","2012","Kaiser"
0,"NC","White","$20,000-$40,000","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"WA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","August","2012","Kaiser"
0,"OH","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","August","2012","Kaiser"
0,"IN","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
1,"DC","Black","$40,000-$75,000","Male","Male.Black","30-44","college graduate","August","2012","Kaiser"
0,"IL","Black","less than $20,000","Female","Female.Black","45-64","high school graduate","August","2012","Kaiser"
1,"SC","Black","$20,000-$40,000","Female","Female.Black","45-64","high school graduate","August","2012","Kaiser"
1,"AR","White","$40,000-$75,000","Female","Female.White","65+","college graduate","August","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"FL","Black","less than $20,000","Male","Male.Black","30-44","some college","August","2012","Kaiser"
1,"NY","Hispanic","$75,000+","Female","Female.Hispanic","30-44","postgraduate","August","2012","Kaiser"
0,"OH","White","$20,000-$40,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"MO","White","less than $20,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
0,"SC","White","$40,000-$75,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
1,"DE","White","$40,000-$75,000","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"SC","Black","less than $20,000","Male","Male.Black","30-44","high school graduate","August","2012","Kaiser"
1,"MD","White","$75,000+","Male","Male.White","45-64","some college","August","2012","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
0,"PA","White","$20,000-$40,000","Male","Male.White","18-29","less than a high school education","August","2012","Kaiser"
1,"MI","White","$40,000-$75,000","Male","Male.White","65+","some college","August","2012","Kaiser"
1,"NC","White","less than $20,000","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
0,"TN","White","$20,000-$40,000","Female","Female.White","18-29","some college","August","2012","Kaiser"
1,"FL","Other","$75,000+","Male","Male.Other","18-29","high school graduate","August","2012","Kaiser"
0,"VA","Other","$75,000+","Female","Female.Other","45-64","some college","August","2012","Kaiser"
0,"IN","White","$20,000-$40,000","Male","Male.White","45-64","less than a high school education","August","2012","Kaiser"
1,"IA","Black","$75,000+","Female","Female.Black","18-29","college graduate","August","2012","Kaiser"
0,"PA","White","less than $20,000","Male","Male.White","45-64","less than a high school education","August","2012","Kaiser"
1,"IL","White","$40,000-$75,000","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"KY","Other","less than $20,000","Female","Female.Other","30-44","high school graduate","August","2012","Kaiser"
0,"OH","White","$40,000-$75,000","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
1,"MO","White","$40,000-$75,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
1,"GA","Black","less than $20,000","Female","Female.Black","18-29","high school graduate","August","2012","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","45-64","high school graduate","August","2012","Kaiser"
1,"AZ","White","$75,000+","Male","Male.White","45-64","postgraduate","August","2012","Kaiser"
0,"SC","White","less than $20,000","Male","Male.White","65+","some college","August","2012","Kaiser"
1,"FL","White","$20,000-$40,000","Female","Female.White","18-29","postgraduate","August","2012","Kaiser"
1,"MO","Black","less than $20,000","Male","Male.Black","65+","some college","August","2012","Kaiser"
0,"IA","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"OH","White","$20,000-$40,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"MN","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","August","2012","Kaiser"
0,"IN","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"FL","Hispanic","$20,000-$40,000","Female","Female.Hispanic","18-29","some college","August","2012","Kaiser"
1,"PA","Black","$40,000-$75,000","Female","Female.Black","45-64","high school graduate","August","2012","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"LA","Black","less than $20,000","Male","Male.Black","45-64","some college","August","2012","Kaiser"
0,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","some college","August","2012","Kaiser"
1,"FL","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","college graduate","August","2012","Kaiser"
1,"LA","Other","$40,000-$75,000","Male","Male.Other","18-29","postgraduate","August","2012","Kaiser"
1,"TX","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"DC","White","$75,000+","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
1,"MI","White","$75,000+","Male","Male.White","30-44","some college","August","2012","Kaiser"
0,"LA","Black","$20,000-$40,000","Female","Female.Black","18-29","postgraduate","August","2012","Kaiser"
0,"SD","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
0,"AR","White","$20,000-$40,000","Female","Female.White","30-44","high school graduate","August","2012","Kaiser"
0,"IL","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"AL","White","$75,000+","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","30-44","postgraduate","August","2012","Kaiser"
0,"TX","Hispanic","$75,000+","Male","Male.Hispanic","45-64","college graduate","August","2012","Kaiser"
1,"TX","Hispanic","$40,000-$75,000","Male","Male.Hispanic","45-64","some college","August","2012","Kaiser"
0,"KY","White","less than $20,000","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"VA","White","$40,000-$75,000","Male","Male.White","30-44","postgraduate","August","2012","Kaiser"
0,"IL","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
1,"MN","Other","$40,000-$75,000","Male","Male.Other","18-29","postgraduate","August","2012","Kaiser"
1,"AR","White","$75,000+","Male","Male.White","65+","high school graduate","August","2012","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"OH","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
0,"UT","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
1,"TX","White","less than $20,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"KY","White","$20,000-$40,000","Female","Female.White","18-29","high school graduate","August","2012","Kaiser"
1,"KS","White","$75,000+","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
0,"MI","White","$20,000-$40,000","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"WI","White","$20,000-$40,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
0,"MI","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"MA","White","$75,000+","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"GA","Black","$40,000-$75,000","Female","Female.Black","18-29","college graduate","August","2012","Kaiser"
0,"NY","Other","$20,000-$40,000","Female","Female.Other","45-64","high school graduate","August","2012","Kaiser"
0,"IN","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"AZ","Black","$40,000-$75,000","Female","Female.Black","45-64","some college","August","2012","Kaiser"
1,"WV","White","$40,000-$75,000","Female","Female.White","30-44","postgraduate","August","2012","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"IN","Black","$20,000-$40,000","Female","Female.Black","18-29","high school graduate","August","2012","Kaiser"
1,"TX","Hispanic","$75,000+","Female","Female.Hispanic","18-29","some college","August","2012","Kaiser"
1,"SC","White","$20,000-$40,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"UT","White","$75,000+","Male","Male.White","30-44","postgraduate","August","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","college graduate","August","2012","Kaiser"
1,"FL","Black","$20,000-$40,000","Female","Female.Black","30-44","high school graduate","August","2012","Kaiser"
0,"TX","Hispanic","$75,000+","Male","Male.Hispanic","45-64","college graduate","August","2012","Kaiser"
0,"OK","White","$40,000-$75,000","Male","Male.White","65+","some college","August","2012","Kaiser"
1,"IL","White","$20,000-$40,000","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
0,"CA","White","less than $20,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"WA","Hispanic","less than $20,000","Male","Male.Hispanic","18-29","college graduate","August","2012","Kaiser"
0,"WA","White","$75,000+","Female","Female.White","30-44","some college","August","2012","Kaiser"
0,"MS","White","$20,000-$40,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"IA","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"OH","White","$20,000-$40,000","Female","Female.White","65+","some college","August","2012","Kaiser"
0,"CO","White","$40,000-$75,000","Male","Male.White","18-29","less than a high school education","August","2012","Kaiser"
0,"LA","Black","less than $20,000","Female","Female.Black","18-29","high school graduate","August","2012","Kaiser"
0,"IL","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
1,"CA","White","$20,000-$40,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
0,"MO","Hispanic","$20,000-$40,000","Male","Male.Hispanic","18-29","college graduate","August","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"OR","White","$75,000+","Male","Male.White","45-64","postgraduate","August","2012","Kaiser"
1,"MN","White","$40,000-$75,000","Female","Female.White","65+","some college","August","2012","Kaiser"
1,"WI","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"NM","White","$75,000+","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
0,"AR","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
1,"OR","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"FL","Black","less than $20,000","Male","Male.Black","45-64","less than a high school education","August","2012","Kaiser"
0,"IL","Other","$40,000-$75,000","Female","Female.Other","30-44","college graduate","August","2012","Kaiser"
1,"MS","White","$75,000+","Male","Male.White","18-29","some college","August","2012","Kaiser"
1,"TX","Hispanic","$40,000-$75,000","Male","Male.Hispanic","30-44","college graduate","August","2012","Kaiser"
0,"HI","Hispanic","$75,000+","Male","Male.Hispanic","65+","postgraduate","August","2012","Kaiser"
1,"UT","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
1,"AZ","White","less than $20,000","Male","Male.White","18-29","some college","August","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"WA","Other","$75,000+","Male","Male.Other","30-44","postgraduate","August","2012","Kaiser"
0,"CA","Other","$75,000+","Male","Male.Other","30-44","college graduate","August","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","45-64","some college","August","2012","Kaiser"
0,"NM","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
0,"CA","White","less than $20,000","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"AZ","White","$75,000+","Male","Male.White","45-64","postgraduate","August","2012","Kaiser"
1,"CA","Other","$40,000-$75,000","Male","Male.Other","18-29","high school graduate","August","2012","Kaiser"
0,"CA","Other","$75,000+","Male","Male.Other","45-64","college graduate","August","2012","Kaiser"
1,"CA","Hispanic","$75,000+","Male","Male.Hispanic","18-29","some college","August","2012","Kaiser"
1,"OR","White","$75,000+","Female","Female.White","30-44","postgraduate","August","2012","Kaiser"
1,"IL","Other","$20,000-$40,000","Male","Male.Other","30-44","some college","August","2012","Kaiser"
1,"KY","Other","$75,000+","Female","Female.Other","45-64","some college","August","2012","Kaiser"
0,"CA","Black","$20,000-$40,000","Female","Female.Black","65+","college graduate","August","2012","Kaiser"
0,"WI","White","$40,000-$75,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
1,"NE","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","postgraduate","August","2012","Kaiser"
1,"WI","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"NC","Black","$20,000-$40,000","Female","Female.Black","30-44","high school graduate","August","2012","Kaiser"
0,"FL","Hispanic","$20,000-$40,000","Male","Male.Hispanic","18-29","high school graduate","August","2012","Kaiser"
1,"MD","Other","$75,000+","Male","Male.Other","45-64","college graduate","August","2012","Kaiser"
0,"PA","Hispanic","$75,000+","Male","Male.Hispanic","30-44","some college","August","2012","Kaiser"
1,"PA","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"IN","White","$75,000+","Male","Male.White","45-64","some college","August","2012","Kaiser"
0,"OH","White","$75,000+","Female","Female.White","30-44","high school graduate","August","2012","Kaiser"
1,"MD","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"KS","White","less than $20,000","Female","Female.White","30-44","high school graduate","August","2012","Kaiser"
0,"GA","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
1,"MI","White","$75,000+","Male","Male.White","65+","postgraduate","August","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","65+","some college","August","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
0,"TN","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"NJ","Hispanic","$75,000+","Male","Male.Hispanic","18-29","some college","August","2012","Kaiser"
1,"UT","White","$75,000+","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
1,"NE","White","$75,000+","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"AL","White","$20,000-$40,000","Female","Female.White","65+","college graduate","August","2012","Kaiser"
0,"FL","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","some college","August","2012","Kaiser"
1,"MI","White","$40,000-$75,000","Male","Male.White","45-64","some college","August","2012","Kaiser"
1,"GA","Other","$20,000-$40,000","Female","Female.Other","30-44","college graduate","August","2012","Kaiser"
0,"MS","White","$75,000+","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
0,"SC","White","$75,000+","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
0,"NY","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
0,"NC","Black","less than $20,000","Female","Female.Black","18-29","high school graduate","August","2012","Kaiser"
1,"FL","Black","$40,000-$75,000","Male","Male.Black","30-44","college graduate","August","2012","Kaiser"
0,"NE","White","$75,000+","Female","Female.White","30-44","postgraduate","August","2012","Kaiser"
1,"IL","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
0,"SC","White","$40,000-$75,000","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
0,"PA","White","$20,000-$40,000","Female","Female.White","30-44","high school graduate","August","2012","Kaiser"
0,"WI","White","$75,000+","Female","Female.White","30-44","some college","August","2012","Kaiser"
0,"AZ","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
0,"PA","White","$75,000+","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"NC","White","$75,000+","Male","Male.White","18-29","postgraduate","August","2012","Kaiser"
0,"WI","White","$75,000+","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
0,"IN","White","less than $20,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
0,"NE","White","$75,000+","Male","Male.White","30-44","postgraduate","August","2012","Kaiser"
0,"MI","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
1,"FL","Black","$75,000+","Male","Male.Black","30-44","postgraduate","August","2012","Kaiser"
0,"TX","Hispanic","$40,000-$75,000","Male","Male.Hispanic","45-64","college graduate","August","2012","Kaiser"
0,"LA","White","$75,000+","Female","Female.White","18-29","college graduate","August","2012","Kaiser"
1,"OH","White","$75,000+","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"FL","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
1,"GA","Black","$75,000+","Male","Male.Black","65+","postgraduate","August","2012","Kaiser"
1,"TX","White","$75,000+","Male","Male.White","30-44","postgraduate","August","2012","Kaiser"
0,"NC","White","$40,000-$75,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
0,"LA","White","less than $20,000","Female","Female.White","45-64","postgraduate","August","2012","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"GA","Black","less than $20,000","Female","Female.Black","45-64","high school graduate","August","2012","Kaiser"
0,"DE","White","$40,000-$75,000","Female","Female.White","30-44","some college","August","2012","Kaiser"
1,"FL","Other","$20,000-$40,000","Female","Female.Other","18-29","postgraduate","August","2012","Kaiser"
0,"AR","White","$75,000+","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"GA","White","$40,000-$75,000","Male","Male.White","65+","some college","August","2012","Kaiser"
1,"NY","White","$20,000-$40,000","Female","Female.White","65+","postgraduate","August","2012","Kaiser"
0,"VA","White","less than $20,000","Female","Female.White","45-64","less than a high school education","August","2012","Kaiser"
1,"NY","Black","$40,000-$75,000","Male","Male.Black","30-44","some college","August","2012","Kaiser"
0,"FL","Hispanic","$75,000+","Male","Male.Hispanic","30-44","postgraduate","August","2012","Kaiser"
0,"AZ","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"TX","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","August","2012","Kaiser"
0,"AR","White","$40,000-$75,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
0,"NJ","White","$75,000+","Female","Female.White","65+","high school graduate","August","2012","Kaiser"
1,"MD","Black","$75,000+","Male","Male.Black","45-64","college graduate","August","2012","Kaiser"
0,"VA","Black","$75,000+","Female","Female.Black","45-64","postgraduate","August","2012","Kaiser"
0,"LA","Black","less than $20,000","Female","Female.Black","30-44","college graduate","August","2012","Kaiser"
0,"PA","Black","$40,000-$75,000","Male","Male.Black","45-64","high school graduate","August","2012","Kaiser"
0,"MN","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
1,"OR","White","$75,000+","Female","Female.White","65+","postgraduate","August","2012","Kaiser"
0,"GA","White","$40,000-$75,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
1,"WI","Black","$20,000-$40,000","Male","Male.Black","65+","less than a high school education","August","2012","Kaiser"
